,subjectNo,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
46,211,32,50,7,29,32,53,4,4,7,7,1,7,1,7,4,4,4,7,1,4,7,8,8,1,1,1,1,1,1,1,1,1,NOTHING,19,fEMALE,1,3,1,4,1,1,5,7,5,5,6,6,5,4,6,5,5,7,6,1,1,1,1,1,1,1,4,5,4,2,1,7,6,4,5,6,4,6,7
47,212,35,43,13,17,31,47,3,6,5,5,7,5,4,7,7,5,6,4,2,5,4,8,6,1,1,1,1,1,1,1,1,1,piano,21,FEMALE,1,2,1,5,4,2,5,6,7,3,6,6,2,5,6,5,5,2,6,2,1,2,3,1,3,1,5,2,3,3,1,2,1,3,6,6,3,6,7
48,213,48,46,20,36,38,87,5,6,6,3,6,3,5,4,7,5,6,3,5,6,5,8,8,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,6,5,5,6,4,6,6,4,6,5,6,2,6,5,6,5,5,6,4,5,3,3,1,2,2,6,6,5,5,3,6,5,7,6,7,5,6,7
49,215,26,36,28,19,31,52,5,4,4,5,4,5,4,5,4,5,5,4,5,5,4,8,7,1,1,1,1,1,1,1,1,1,Upright Bass,19,MALE,1,3,1,2,5,2,2,6,2,3,2,6,3,5,6,5,5,2,2,6,2,1,3,6,7,3,2,5,2,3,2,3,2,6,6,6,2,5,6
50,216,31,52,27,26,36,77,6,4,2,5,3,7,6,5,4,6,5,7,1,6,4,6,6,1,1,1,1,1,1,3,1,3,trumpet,216,MALE,1,5,1,4,4,1,5,5,4,2,6,7,6,5,5,6,6,6,5,6,6,4,3,1,5,2,4,4,6,3,4,3,2,5,7,6,6,6,6
51,217,41,59,23,39,26,89,5,4,1,5,7,5,5,6,7,4,4,5,2,6,2,9,2,1,1,1,1,1,1,1,1,1,guitar,19,FEMALE,1,7,2,4,5,5,5,5,5,3,7,7,7,5,7,7,7,7,5,3,2,5,4,1,5,3,7,7,5,7,4,6,3,4,2,5,5,5,5
52,218,48,42,33,34,39,92,5,5,5,5,4,5,5,5,7,6,7,7,7,7,1,1,5,1,1,1,1,1,1,1,1,1,guitar,26,FEMALE,1,5,4,5,7,6,7,7,1,6,4,6,2,5,4,6,5,4,6,5,3,7,5,3,7,3,6,6,4,4,5,6,3,6,7,7,6,6,7
53,219,43,50,12,21,34,65,2,3,4,3,3,7,7,4,6,5,3,7,1,7,5,9,6,1,1,1,1,1,1,1,1,1,voice,18,FEMALE,1,4,4,7,6,2,6,6,2,6,6,6,5,5,6,6,6,5,5,5,2,1,1,1,1,1,4,5,2,4,2,3,1,6,6,6,5,6,5
54,220,30,36,7,24,38,59,6,2,7,1,2,5,5,6,7,3,7,7,4,7,1,6,6,1,1,1,1,1,1,1,1,1,piano,18,FEMALE,1,4,3,1,5,2,6,6,2,1,3,2,5,5,6,1,6,6,2,1,1,1,1,1,1,1,2,4,1,2,7,6,2,7,7,7,3,7,7
55,221,25,31,13,24,27,55,1,1,7,1,1,4,2,7,2,2,4,4,1,1,6,2,2,1,1,1,1,1,1,1,1,1,None,24,FEMALE,1,3,1,1,4,2,5,3,2,4,2,6,2,1,4,3,5,6,2,6,2,1,1,1,1,1,1,5,1,2,6,5,4,5,3,7,4,2,6
56,223,44,46,10,10,34,39,5,6,7,5,5,7,7,2,6,5,7,5,1,5,9,8,6,1,1,1,1,1,1,1,1,1,Strumstick ,19,MALE,1,5,1,5,5,5,7,7,5,4,6,7,3,2,6,7,7,1,7,1,1,1,4,1,1,1,1,4,1,1,1,1,1,7,7,7,1,5,7
57,224,42,48,11,15,32,47,5,1,2,5,3,6,1,1,7,2,5,5,4,6,7,7,6,1,1,1,1,1,1,1,1,1,voice,20,MALE,1,3,1,4,5,3,6,6,7,7,6,7,6,5,5,7,6,1,5,4,1,1,2,1,1,1,2,3,1,4,2,2,1,6,6,7,3,4,6
58,225,47,34,35,34,34,97,5,4,4,5,5,4,5,5,6,4,6,6,4,7,8,8,8,1,1,1,1,1,1,3,1,5,VOICE,21,FEMALE,0,6,4,6,6,6,7,4,4,4,5,2,3,6,4,5,3,5,1,6,5,7,5,1,6,5,6,5,6,6,3,5,3,6,6,6,4,6,6
59,226,38,42,7,30,30,57,4,4,7,6,5,7,5,4,3,4,5,5,1,2,6,4,4,1,1,1,1,1,1,1,1,1,I dont play any instruments ,19,FEMALE,0,4,2,2,5,1,7,6,7,4,6,6,3,5,6,5,5,1,5,1,1,1,1,1,1,1,4,6,3,4,1,7,5,6,5,7,3,2,7
60,227,48,55,28,27,39,84,5,6,2,4,4,6,7,6,4,7,5,5,4,7,1,7,2,1,1,1,1,1,1,3,1,3,saxophone,22,FEMALE,1,4,3,6,6,7,7,6,2,7,7,7,6,6,6,7,7,7,2,6,6,3,3,1,6,3,2,6,5,3,2,7,2,7,7,7,5,6,7
61,228,43,48,7,19,35,57,6,2,1,7,1,7,2,1,7,2,6,4,5,6,6,8,6,1,1,1,1,1,1,1,1,1,Voice,19,Male,1,4,2,6,6,1,6,7,5,6,6,7,2,7,6,5,5,3,7,1,1,1,1,1,1,1,3,5,2,2,1,5,1,2,7,7,6,7,6
62,229,38,39,9,28,30,60,3,4,7,5,2,7,5,6,6,5,5,7,5,7,8,5,6,1,1,1,1,1,1,1,1,1,voice,20,FEMALE,1,5,4,4,6,3,5,6,2,3,6,6,3,3,3,6,5,2,5,2,1,1,1,1,2,1,5,5,3,3,3,4,5,5,2,6,6,5,6
63,3,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
64,4,44,43,36,21,35,86,6,5,5,1,7,3,4,5,6,4,7,4,4,6,5,6,6,2,2,1,2,2,1,2,2,1,Piano,20,Male,1,6,4,4,6,6,6,6,3,3,5,5,6,4,3,5,6,4,5,6,7,6,6,3,1,7,2,5,4,2,2,4,2,6,6,6,5,5,7
65,5,57,60,37,44,38,113,7,6,3,5,5,5,5,6,6,6,2,6,3,6,4,5,6,2,5,3,2,5,3,2,5,3,Voice,19,Male,1,7,6,7,7,5,7,5,7,6,7,7,7,7,7,6,7,6,6,7,7,5,6,4,5,3,5,7,7,7,7,6,5,6,7,6,6,6,7
66,6,38,50,34,39,35,96,6,4,4,3,5,4,5,4,5,4,5,5,2,6,6,8,6,2,2,1,2,2,1,3,5,1,Voice,19,Male,1,6,2,6,5,3,5,3,5,3,6,6,5,6,3,6,6,7,5,6,6,6,3,4,6,3,5,7,7,6,6,5,3,6,6,6,5,6,6
67,7,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
68,8,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
